Unlimited Data Plan,Account Length (in months),Intl Active,Intl Plan,State,Gender,Age,Under 30,Senior,Group,Demographics,Contract Type,Payment Method,Churn Category,Churn Reason,Total Customers,Churned Customers,Avg Monthly Charges,Avg Customer Service Calls,Avg Extra International Charges,Avg Extra Data Charges,Avg Monthly GB Download,Grouped Comsumtion
No,1,No,no,SC,Male,67,No,Yes,Yes,Senior,Month-to-Month,Credit Card,(blank),(blank),1,,9,0,0,0,0,Less than 5 GB
No,1,No,no,SD,Male,46,No,No,,Other,,,,,1,,13,0,0,0,4,Less than 5 GB
No,1,No,no,TN,Male,29,Yes,No,,Under 30,,,,,1,1,9,3,0,0,0,Less than 5 GB
No,1,No,no,TX,Male,44,No,No,,Other,,,,,1,,13,0,0,0,0,Less than 5 GB
No,1,No,no,TX,Male,50,No,No,,Other,,,,,1,1,7,4,0,0,0,Less than 5 GB
No,1,No,no,UT,Male,59,No,No,,Other,,,,,1,,8,0,0,0,0,Less than 5 GB
No,1,No,no,VA,Female,21,Yes,No,,Under 30,,,,,1,,14,0,0,3,25,10 o more GB
No,1,No,no,VA,Male,40,No,No,,Other,,,,,1,,8,1,0,0,0,Less than 5 GB
No,1,No,no,VT,Female,23,Yes,No,,Under 30,,,,,1,,11,0,0,0,0,Less than 5 GB
No,1,No,no,VT,Female,29,Yes,No,,Under 30,,,,,1,1,54,1,8.9,35,17,10 o more GB
No,1,No,no,VT,Female,32,No,No,,Other,,,,,1,,12,0,0,29,10,Between 5 and 10 GB
No,1,No,no,VT,Female,42,No,No,,Other,,,,,1,,8,0,0,0,0,Less than 5 GB
No,1,No,no,VT,Male,31,No,No,,Other,,,,,1,1,10,1,0,0,0,Less than 5 GB
No,1,No,no,WA,Male,23,Yes,No,,Under 30,,,,,1,,31,1,0,36,23,10 o more GB
No,1,No,no,WA,Male,26,Yes,No,,Under 30,,,,,1,,7,1,0,0,0,Less than 5 GB
No,1,No,no,WA,Male,44,No,No,,Other,,,,,1,1,42,0,0,4,11,10 o more GB
No,1,No,no,WA,Male,47,No,No,,Other,,,,,1,,14,0,0,32,4,Less than 5 GB
No,1,No,no,WA,Male,49,No,No,,Other,,,,,1,,7,2,0,0,0,Less than 5 GB
No,1,No,no,WA,Male,50,No,No,,Other,,,,,1,,13,0,0,0,0,Less than 5 GB
No,1,No,no,WA,Male,57,No,No,,Other,,,,,1,1,31,3,0,25,4,Less than 5 GB
No,1,No,no,WI,Female,56,No,No,,Other,,,,,1,,7,0,0,0,0,Less than 5 GB
No,1,No,no,WI,Male,29,Yes,No,,Under 30,,,,,1,,7,0,0,0,0,Less than 5 GB
No,1,No,no,WI,Male,39,No,No,,Other,,,,,1,,13,2,0,0,0,Less than 5 GB
No,1,No,no,WV,Female,43,No,No,,Other,,,,,1,1,8,5,0,0,0,Less than 5 GB
No,1,No,no,WV,Male,57,No,No,,Other,,,,,1,1,26,2,0,14,2,Less than 5 GB
No,1,No,no,WY,Female,61,No,No,,Other,,,,,1,,26,1,0,23,12,10 o more GB
No,1,No,no,WY,Female,75,No,Yes,No,Senior,Month-to-Month,Direct Debit,Dissatisfaction,Limited range of services,1,1,43,3,0,18,6,Between 5 and 10 GB
No,1,No,no,WY,Male,27,Yes,No,,Under 30,,,,,1,1,45,0,0,26,13,10 o more GB
No,1,No,yes,AK,Male,32,No,No,,Other,,,,,1,1,9,5,0,0,0,Less than 5 GB
No,1,No,yes,AL,Male,40,No,No,,Other,,,,,1,,10,0,0,0,0,Less than 5 GB
No,1,No,yes,CA,Female,83,No,Yes,No,Senior,Month-to-Month,Direct Debit,Competitor,Competitor made better offer,1,1,33,3,0,7,6,Between 5 and 10 GB
No,1,No,yes,CA,Male,56,No,No,,Other,,,,,1,1,10,0,0,0,0,Less than 5 GB
No,1,No,yes,IL,Female,77,No,Yes,No,Senior,Month-to-Month,Credit Card,Attitude,Attitude of support person,1,1,7,5,0,0,0,Less than 5 GB
No,1,No,yes,IL,Male,80,No,Yes,No,Senior,Month-to-Month,Direct Debit,Price,Price too high,1,1,40,4,0,33,8,Between 5 and 10 GB
No,1,No,yes,IN,Male,44,No,No,,Other,,,,,1,1,9,2,0,0,0,Less than 5 GB
No,1,No,yes,KS,Male,47,No,No,,Other,,,,,1,,8,2,0,0,0,Less than 5 GB
No,1,No,yes,MN,Male,44,No,No,,Other,,,,,1,1,12,1,0,43,2,Less than 5 GB
No,1,No,yes,NH,Male,61,No,No,,Other,,,,,1,1,11,5,0,0,0,Less than 5 GB
No,1,No,yes,NJ,Male,56,No,No,,Other,,,,,1,1,12,5,0,0,0,Less than 5 GB
No,1,No,yes,NV,Female,41,No,No,,Other,,,,,1,1,11,3,0,4,2,Less than 5 GB
No,1,No,yes,RI,Female,63,No,No,,Other,,,,,1,1,8,0,0,0,0,Less than 5 GB
No,1,No,yes,VA,Female,21,Yes,No,,Under 30,,,,,1,,10,1,0,0,0,Less than 5 GB
No,1,Yes,no,AL,Female,34,No,No,,Other,,,,,1,1,10,2,6.5,0,0,Less than 5 GB
No,1,Yes,no,CA,Male,37,No,No,,Other,,,,,1,1,8,2,1.9,0,0,Less than 5 GB
No,1,Yes,no,CA,Male,71,No,Yes,No,Senior,Month-to-Month,Direct Debit,Competitor,Competitor made better offer,1,1,26,1,0.2,6,3,Less than 5 GB
No,1,Yes,no,CO,Male,33,No,No,,Other,,,,,1,1,8,5,2,0,0,Less than 5 GB
No,1,Yes,no,CO,Male,52,No,No,,Other,,,,,1,,32,0,2.6,5,2,Less than 5 GB
No,1,Yes,no,CO,Male,66,No,Yes,No,Senior,Month-to-Month,Direct Debit,(blank),(blank),1,,25,0,5.4,5,12,10 o more GB
No,1,Yes,no,DE,Female,67,No,Yes,No,Senior,Month-to-Month,Direct Debit,Dissatisfaction,Limited range of services,1,1,10,4,6.6,0,0,Less than 5 GB
No,1,Yes,no,DE,Male,43,No,No,,Other,,,,,1,1,10,0,3.2,0,0,Less than 5 GB
No,1,Yes,no,FL,Male,56,No,No,,Other,,,,,1,1,6,3,2.3,0,0,Less than 5 GB
No,1,Yes,no,GA,Female,21,Yes,No,,Under 30,,,,,1,,10,0,3.7,0,0,Less than 5 GB
No,1,Yes,no,GA,Female,47,No,No,,Other,,,,,1,,9,1,4.2,0,0,Less than 5 GB
No,1,Yes,no,GA,Female,52,No,No,,Other,,,,,1,1,11,3,4.3,0,0,Less than 5 GB
No,1,Yes,no,GA,Female,68,No,Yes,No,Senior,Month-to-Month,Credit Card,Attitude,Attitude of support person,1,1,8,5,7.8,0,0,Less than 5 GB
No,1,Yes,no,ID,Male,59,No,No,,Other,,,,,1,,12,0,1.3,0,0,Less than 5 GB
No,1,Yes,no,IL,Female,33,No,No,,Other,,,,,1,,13,0,3.6,0,0,Less than 5 GB
No,1,Yes,no,IL,Male,23,Yes,No,,Under 30,,,,,1,1,10,3,2.6,0,0,Less than 5 GB
No,1,Yes,no,IN,Male,20,Yes,No,,Under 30,,,,,1,,12,0,4.2,0,0,Less than 5 GB
No,1,Yes,no,IN,Male,21,Yes,No,,Under 30,,,,,1,1,10,0,2.7,0,0,Less than 5 GB
No,1,Yes,no,IN,Male,51,No,No,,Other,,,,,1,1,9,0,5.6,0,0,Less than 5 GB
No,1,Yes,no,KS,Female,19,Yes,No,,Under 30,,,,,1,1,12,5,6.3,0,0,Less than 5 GB
No,1,Yes,no,KS,Male,40,No,No,,Other,,,,,1,1,31,4,313.3,6,6,Between 5 and 10 GB
No,1,Yes,no,KS,Male,51,No,No,,Other,,,,,1,,7,1,3.7,0,0,Less than 5 GB
No,1,Yes,no,KY,Male,41,No,No,,Other,,,,,1,1,35,1,4.4,4,4,Less than 5 GB
No,1,Yes,no,KY,Male,54,No,No,,Other,,,,,1,1,11,0,2.7,0,0,Less than 5 GB
No,1,Yes,no,MD,Male,34,No,No,,Other,,,,,1,,13,0,4.1,0,0,Less than 5 GB
No,1,Yes,no,MD,Male,57,No,No,,Other,,,,,1,1,10,5,4.4,0,0,Less than 5 GB
No,1,Yes,no,ME,Female,51,No,No,,Other,,,,,1,1,12,4,11,0,0,Less than 5 GB
No,1,Yes,no,ME,Female,66,No,Yes,Yes,Senior,Month-to-Month,Credit Card,(blank),(blank),1,,7,0,2.1,0,0,Less than 5 GB
No,1,Yes,no,ME,Male,41,No,No,,Other,,,,,1,,9,0,1.4,0,0,Less than 5 GB
No,1,Yes,no,ME,Male,54,No,No,,Other,,,,,1,1,39,0,2.1,5,8,Between 5 and 10 GB
No,1,Yes,no,MI,Female,23,Yes,No,,Under 30,,,,,1,1,10,5,5.5,0,0,Less than 5 GB
No,1,Yes,no,MN,Female,40,No,No,,Other,,,,,1,1,25,3,2.4,4,5,Between 5 and 10 GB
No,1,Yes,no,MN,Female,46,No,No,,Other,,,,,2,2,27.5,2,4.45,3,1,Less than 5 GB
No,1,Yes,no,MO,Female,22,Yes,No,,Under 30,,,,,1,1,39,4,2.2,4,15,10 o more GB
No,1,Yes,no,MS,Female,46,No,No,,Other,,,,,1,,13,0,3.2,0,0,Less than 5 GB
No,1,Yes,no,MT,Female,62,No,No,,Other,,,,,1,,12,1,2.9,0,0,Less than 5 GB
No,1,Yes,no,NC,Female,24,Yes,No,,Under 30,,,,,1,1,13,0,4.8,0,0,Less than 5 GB
No,1,Yes,no,NC,Female,59,No,No,,Other,,,,,1,1,8,0,6.9,0,0,Less than 5 GB
No,1,Yes,no,NC,Male,36,No,No,,Other,,,,,1,,7,1,2,0,0,Less than 5 GB
No,1,Yes,no,ND,Female,62,No,No,,Other,,,,,1,1,33,3,4.7,5,4,Less than 5 GB
No,1,Yes,no,ND,Male,27,Yes,No,,Under 30,,,,,1,1,50,1,1.8,0,15,10 o more GB
No,1,Yes,no,ND,Male,29,Yes,No,,Under 30,,,,,1,,10,0,4.3,0,0,Less than 5 GB
No,1,Yes,no,NE,Male,25,Yes,No,,Under 30,,,,,1,,11,2,3.1,0,0,Less than 5 GB
No,1,Yes,no,NE,Male,46,No,No,,Other,,,,,1,1,7,3,2.2,0,0,Less than 5 GB
No,1,Yes,no,NH,Female,29,Yes,No,,Under 30,,,,,1,1,37,1,3.6,6,12,10 o more GB
No,1,Yes,no,NH,Male,30,No,No,,Other,,,,,1,,8,0,3,0,0,Less than 5 GB
No,1,Yes,no,NJ,Female,24,Yes,No,,Under 30,,,,,1,,12,0,6,0,0,Less than 5 GB
No,1,Yes,no,NJ,Female,61,No,No,,Other,,,,,1,,8,0,3.7,0,0,Less than 5 GB
No,1,Yes,no,NV,Female,73,No,Yes,No,Senior,Month-to-Month,Paper Check,Competitor,Competitor had better devices,1,1,10,0,11.5,9,5,Between 5 and 10 GB
No,1,Yes,no,NV,Female,85,No,Yes,No,Senior,Month-to-Month,Direct Debit,Dissatisfaction,Network reliability,1,1,45,0,10.7,12,4,Less than 5 GB
No,1,Yes,no,NY,Male,23,Yes,No,,Under 30,,,,,1,,25,0,1.9,15,16,10 o more GB
No,1,Yes,no,OH,Female,47,No,No,,Other,,,,,1,,53,0,3.8,0,2,Less than 5 GB
No,1,Yes,no,OH,Male,43,No,No,,Other,,,,,1,,13,1,3.7,0,0,Less than 5 GB
No,1,Yes,no,OK,Male,62,No,No,,Other,,,,,1,1,40,4,2.8,5,6,Between 5 and 10 GB
No,1,Yes,no,OR,Female,35,No,No,,Other,,,,,1,1,43,2,4.5,7,4,Less than 5 GB
No,1,Yes,no,OR,Male,30,No,No,,Other,,,,,1,1,21,5,3.7,36,9,Between 5 and 10 GB
No,1,Yes,no,OR,Male,48,No,No,,Other,,,,,1,,9,0,1.7,0,0,Less than 5 GB
No,1,Yes,no,SC,Female,61,No,No,,Other,,,,,1,,35,0,4.5,4,7,Between 5 and 10 GB
No,1,Yes,no,SD,Female,26,Yes,No,,Under 30,,,,,1,1,8,1,2.1,0,0,Less than 5 GB
No,1,Yes,no,TX,Male,38,No,No,,Other,,,,,1,1,10,0,4.7,0,0,Less than 5 GB
No,1,Yes,no,TX,Male,65,No,No,,Other,,,,,1,1,47,4,1.4,11,15,10 o more GB
No,1,Yes,no,UT,Female,58,No,No,,Other,,,,,1,1,10,2,3,0,0,Less than 5 GB
No,1,Yes,no,VT,Male,40,No,No,,Other,,,,,1,,25,0,2.7,5,7,Between 5 and 10 GB
No,1,Yes,no,WI,Male,45,No,No,,Other,,,,,1,1,8,4,2.7,0,0,Less than 5 GB
No,1,Yes,no,WI,Male,67,No,Yes,No,Senior,Month-to-Month,Credit Card,Price,Long distance charges,1,1,13,1,2.6,0,0,Less than 5 GB
No,1,Yes,no,WV,Male,54,No,No,,Other,,,,,1,,7,0,2.8,0,0,Less than 5 GB
No,1,Yes,yes,AR,Female,21,Yes,No,,Under 30,,,,,1,,10,0,0,0,0,Less than 5 GB
No,1,Yes,yes,DE,Male,64,No,No,,Other,,,,,1,1,50,5,0,0,5,Between 5 and 10 GB
No,1,Yes,yes,KS,Female,48,No,No,,Other,,,,,1,,7,0,0,0,0,Less than 5 GB
No,1,Yes,yes,KS,Male,61,No,No,,Other,,,,,1,,9,0,0,0,0,Less than 5 GB
No,1,Yes,yes,ME,Male,43,No,No,,Other,,,,,1,,12,1,0,0,0,Less than 5 GB
No,1,Yes,yes,MI,Male,40,No,No,,Other,,,,,1,,6,2,0,0,0,Less than 5 GB
No,1,Yes,yes,MN,Female,61,No,No,,Other,,,,,1,,9,0,0,0,0,Less than 5 GB
No,1,Yes,yes,MS,Male,36,No,No,,Other,,,,,1,,9,1,0,0,0,Less than 5 GB
No,1,Yes,yes,NH,Female,45,No,No,,Other,,,,,1,,13,0,0,0,0,Less than 5 GB
No,1,Yes,yes,NV,Female,33,No,No,,Other,,,,,1,,7,0,0,0,0,Less than 5 GB
No,1,Yes,yes,OR,Male,65,No,Yes,No,Senior,Month-to-Month,Credit Card,(blank),(blank),1,,12,0,0,0,0,Less than 5 GB
No,1,Yes,yes,TN,Male,30,No,No,,Other,,,,,1,,6,0,0,0,0,Less than 5 GB
No,2,No,no,AR,Female,48,No,No,,Other,,,,,1,,26,0,0,9,4,Less than 5 GB
No,2,No,no,AR,Male,65,No,Yes,No,Senior,Month-to-Month,Credit Card,(blank),(blank),1,,27,2,0,6,14,10 o more GB
No,2,No,no,CO,Female,30,No,No,,Other,,,,,1,1,7,3,0,0,0,Less than 5 GB
No,2,No,no,CT,Male,27,Yes,No,,Under 30,,,,,1,1,25,2,0,5,10,Between 5 and 10 GB
No,2,No,no,IL,Male,34,No,No,,Other,,,,,1,,27,0,0,6,4,Less than 5 GB
No,2,No,no,IN,Female,46,No,No,,Other,,,,,1,,18,0,0,4,2,Less than 5 GB
No,2,No,no,KS,Female,30,No,No,,Other,,,,,1,,8,0,0,0,0,Less than 5 GB
No,2,No,no,LA,Female,35,No,No,,Other,,,,,1,,33,2,0,7,2,Less than 5 GB
No,2,No,no,MD,Female,25,Yes,No,,Under 30,,,,,1,,9,1,0,0,0,Less than 5 GB
No,2,No,no,MD,Male,49,No,No,,Other,,,,,1,,7,2,0,0,0,Less than 5 GB
No,2,No,no,ME,Male,45,No,No,,Other,,,,,1,,8,1,0,0,0,Less than 5 GB
No,2,No,no,MI,Female,37,No,No,,Other,,,,,1,,12,0,0,0,0,Less than 5 GB
No,2,No,no,MI,Female,56,No,No,,Other,,,,,1,,14,0,0,0,0,Less than 5 GB
No,2,No,no,MI,Female,61,No,No,,Other,,,,,1,,6,0,0,0,0,Less than 5 GB
No,2,No,no,MI,Male,56,No,No,,Other,,,,,1,1,48,2,0,6,2,Less than 5 GB
No,2,No,no,MO,Female,35,No,No,,Other,,,,,1,1,15,0,0,5,2,Less than 5 GB
No,2,No,no,NH,Male,38,No,No,,Other,,,,,1,,7,0,0,0,0,Less than 5 GB
No,2,No,no,NH,Male,48,No,No,,Other,,,,,1,,57,0,0,6,3,Less than 5 GB
No,2,No,no,NH,Male,76,No,Yes,No,Senior,One Year,Credit Card,(blank),(blank),1,,55,0,0,7,4,Less than 5 GB
No,2,No,no,NJ,Male,36,No,No,,Other,,,,,1,,39,0,0,4,3,Less than 5 GB
No,2,No,no,NY,Female,59,No,No,,Other,,,,,1,,10,0,0,0,0,Less than 5 GB
No,2,No,no,NY,Female,71,No,Yes,No,Senior,Month-to-Month,Direct Debit,Price,Extra data charges,1,1,38,1,0,5,12,10 o more GB
No,2,No,no,OR,Female,30,No,No,,Other,,,,,1,,8,0,0,0,0,Less than 5 GB
No,2,No,no,PA,Female,45,No,No,,Other,,,,,1,1,25,1,2.9,13,4,Less than 5 GB
No,2,No,no,PA,Male,39,No,No,,Other,,,,,1,,14,2,0,0,0,Less than 5 GB
No,2,No,no,PA,Male,60,No,No,,Other,,,,,1,1,10,3,0,0,0,Less than 5 GB
